Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Portal,Firefox 56.0,,2018-05-07 16:31:58,2018-05-07 16:32:34,35.418s,PASSED
,,,,,,
Test Cases/Start page,Firefox 56.0,,2018-05-07 16:31:59,2018-05-07 16:32:27,27.800s,PASSED
openBrowser,Firefox 56.0,,2018-05-07 16:31:59,2018-05-07 16:32:12,12.675s,PASSED
maximizeWindow,Firefox 56.0,,2018-05-07 16:32:12,2018-05-07 16:32:12,0.068s,PASSED
navigateToUrl,Firefox 56.0,,2018-05-07 16:32:12,2018-05-07 16:32:26,14.162s,PASSED
waitForPageLoad,Firefox 56.0,,2018-05-07 16:32:26,2018-05-07 16:32:26,0.094s,PASSED
click,Firefox 56.0,,2018-05-07 16:32:26,2018-05-07 16:32:27,0.519s,PASSED
,,,,,,
Test Cases/Customer-Login,Firefox 56.0,,2018-05-07 16:32:27,2018-05-07 16:32:31,4.731s,PASSED
click,Firefox 56.0,,2018-05-07 16:32:27,2018-05-07 16:32:28,1.583s,PASSED
setText,Firefox 56.0,,2018-05-07 16:32:28,2018-05-07 16:32:31,2.251s,PASSED
setText,Firefox 56.0,,2018-05-07 16:32:31,2018-05-07 16:32:31,0.472s,PASSED
click,Firefox 56.0,,2018-05-07 16:32:31,2018-05-07 16:32:31,0.217s,PASSED
waitForPageLoad,Firefox 56.0,,2018-05-07 16:32:31,2018-05-07 16:32:31,0.033s,PASSED
,,,,,,
Test Cases/Move to Start Page,Firefox 56.0,,2018-05-07 16:32:31,2018-05-07 16:32:32,0.347s,PASSED
click,Firefox 56.0,,2018-05-07 16:32:31,2018-05-07 16:32:32,0.199s,PASSED
,,,,,,
Test Cases/Municipality dropdown field-start page,Firefox 56.0,,2018-05-07 16:32:32,2018-05-07 16:32:34,2.195s,PASSED
click,Firefox 56.0,,2018-05-07 16:32:32,2018-05-07 16:32:34,2.100s,PASSED
